system:index,bd_mean_0_20,bd_mean_20_50,bd_stdev_0_20,bd_stdev_20_50,calcium_extractable_mean_0_20,calcium_extractable_mean_20_50,calcium_extractable_stdev_0_20,calcium_extractable_stdev_20_50,cec_mean_0_20,cec_mean_20_50,cec_stdev_0_20,cec_stdev_20_50,clay_mean_0_20,clay_mean_20_50,clay_stdev_0_20,clay_stdev_20_50,iron_extractable_mean_0_20,iron_extractable_mean_20_50,iron_extractable_stdev_0_20,iron_extractable_stdev_20_50,magnesium_extractable_mean_0_20,magnesium_extractable_mean_20_50,magnesium_extractable_stdev_0_20,magnesium_extractable_stdev_20_50,nitrogen_total_mean_0_20,nitrogen_total_mean_20_50,nitrogen_total_stdev_0_20,nitrogen_total_stdev_20_50,ph_mean_0_20,ph_mean_20_50,ph_stdev_0_20,ph_stdev_20_50,phosphorus_extractable_mean_0_20,phosphorus_extractable_mean_20_50,phosphorus_extractable_stdev_0_20,phosphorus_extractable_stdev_20_50,plot_id,potassium_extractable_mean_0_20,potassium_extractable_mean_20_50,potassium_extractable_stdev_0_20,potassium_extractable_stdev_20_50,sand_mean_0_20,sand_mean_20_50,sand_stdev_0_20,sand_stdev_20_50,silt_mean_0_20,silt_mean_20_50,silt_stdev_0_20,silt_stdev_20_50,soc_mean_0_20,soc_mean_20_50,soc_stdev_0_20,soc_stdev_20_50,sulfur_extractable_mean_0_20,sulfur_extractable_mean_20_50,sulfur_extractable_stdev_0_20,sulfur_extractable_stdev_20_50,zinc_extractable_mean_0_20,zinc_extractable_mean_20_50,zinc_extractable_stdev_0_20,zinc_extractable_stdev_20_50,.geo
00000000000000000037_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_62,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_63,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_0_0,133,135,4,4,70,70,1,1,26,26,1,1,24,28,1,2,43,33,4,4,55,55,3,4,73,54,9,6,60,60,1,1,26,24,2,2,MAR_64,47,44,2,3,54,50,5,6,16,15,2,2,24,19,1,1,14,11,5,7,11,10,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c_0_0,135,138,2,1,69,68,2,2,27,28,2,2,23,27,4,3,43,34,4,4,54,55,2,2,72,56,4,6,60,60,3,2,24,21,2,0,MAR_67,48,45,1,2,57,54,4,3,13,13,2,2,26,21,1,1,14,11,4,6,11,9,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d_0_0,135,138,2,1,69,68,2,2,27,28,2,2,23,27,4,3,43,34,4,4,54,55,2,2,72,56,4,6,60,60,3,2,24,21,2,0,MAR_68,48,45,1,2,57,54,4,3,13,13,2,2,26,21,1,1,14,11,4,6,11,9,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e_0_0,135,138,2,1,69,68,2,2,27,28,2,2,23,27,4,3,43,34,4,4,54,55,2,2,72,56,4,6,60,60,3,2,24,21,2,0,MAR_69,48,45,1,2,57,54,4,3,13,13,2,2,26,21,1,1,14,11,4,6,11,9,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f_0_0,135,138,2,1,69,68,2,2,27,28,2,2,23,27,4,3,43,34,4,4,54,55,2,2,72,56,4,6,60,60,3,2,24,21,2,0,MAR_71,48,45,1,2,57,54,4,3,13,13,2,2,26,21,1,1,14,11,4,6,11,9,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_0_0,135,138,2,1,69,68,2,2,27,28,2,2,23,27,4,3,43,34,4,4,54,55,2,2,72,56,4,6,60,60,3,2,24,21,2,0,MAR_72,48,45,1,2,57,54,4,3,13,13,2,2,26,21,1,1,14,11,4,6,11,9,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049_0_0,135,138,2,1,69,68,2,2,27,28,2,2,23,27,4,3,43,34,4,4,54,55,2,2,72,56,4,6,60,60,3,2,24,21,2,0,MAR_84,48,45,1,2,57,54,4,3,13,13,2,2,26,21,1,1,14,11,4,6,11,9,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a_0_0,135,138,2,1,69,68,2,2,27,28,2,2,23,27,4,3,43,34,4,4,54,55,2,2,72,56,4,6,60,60,3,2,24,21,2,0,MAR_85,48,45,1,2,57,54,4,3,13,13,2,2,26,21,1,1,14,11,4,6,11,9,2,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
