system:index,fire_frequency,plot_id,.geo
00000000000000000137_0_0,0,MAR_349,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000139_0_0,0,MAR_351,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013b_0_0,0,MAR_353,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013d_0_0,0,MAR_355,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013f_0_0,0,MAR_357,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000140_0_0,0,MAR_359,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000141_0_0,0,MAR_360,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000142_0_0,0,MAR_361,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000146_0_0,0,MAR_365,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000147_0_0,0,MAR_366,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000148_0_0,0,MAR_367,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000014c_0_0,0,MAR_371,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000150_0_0,0,MAR_375,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000151_0_0,0,MAR_376,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000153_0_0,0,MAR_378,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000154_0_0,0,MAR_379,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000157_0_0,0,MAR_382,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000158_0_0,0,MAR_383,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000159_0_0,0,MAR_384,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015a_0_0,0,MAR_385,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015b_0_0,0,MAR_386,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015c_0_0,0,MAR_387,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015d_0_0,0,MAR_388,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015e_0_0,0,MAR_389,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015f_0_0,0,MAR_390,"{""type"":""MultiPoint"",""coordinates"":[]}"
