plot_id,UMAP1,UMAP2,UMAP3,perturbation,singularity,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,lineage2,lineage3,lineage4,lineage5,lineage6,lineage7,lineage8
MAR_124,0.99581736,3.9910982,2.6864526,0.4,0.06666666666666667,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_125,1.0874513,4.017346,2.1958387,0.2,0.8,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_126,1.0161053,3.8076987,2.0621378,0.0,3.0,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_127,1.0361983,3.8079197,1.7533548,0.06666666666666667,2.4,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_128,0.18955876,3.2903683,1.1196986,0.5333333333333333,0.6666666666666666,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_129,0.89936453,3.582432,1.2966176,0.06666666666666667,2.066666666666667,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_13,1.0295507,3.4498146,1.1955425,1.0666666666666667,0.4,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_130,0.08959631,3.3310587,1.6231822,0.4666666666666667,0.8,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_131,0.66882384,3.0653927,2.5823815,0.4666666666666667,0.06666666666666667,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_132,0.9863153,3.9084222,2.3083172,0.26666666666666666,0.9333333333333333,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_133,1.3462217,2.7066267,1.5231391,0.13333333333333333,0.7333333333333333,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_134,0.8330565,3.1518657,2.599366,0.2,0.9333333333333333,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_135,1.4624809,2.7611206,1.4787378,0.06666666666666667,0.3333333333333333,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_136,0.38736877,2.9129717,2.2704906,0.4666666666666667,0.3333333333333333,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_137,0.66923213,3.4209425,2.7984688,0.26666666666666666,0.3333333333333333,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_138,0.80880445,3.7636297,2.3355987,0.6,1.1333333333333333,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_139,0.12747292,3.2013319,1.2553923,0.6666666666666666,0.4666666666666667,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_14,0.77663714,1.4633595,1.290629,0.4666666666666667,0.13333333333333333,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_140,0.9947691,4.029383,2.5005867,0.13333333333333333,0.6,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_141,0.64149356,3.2885895,2.6840947,0.13333333333333333,0.6,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_142,0.19506493,2.856953,2.0520225,0.7333333333333333,0.26666666666666666,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_143,0.85238236,2.1936715,2.0857184,0.26666666666666666,0.7333333333333333,1,1,1,0,5,2,2,2,1,1,1,1,1.1,1.1,1.1
MAR_144,0.46304008,3.0468996,2.2264607,0.5333333333333333,1.0666666666666667,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_145,0.82279557,2.8753831,2.6235778,0.6,0.6,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_146,0.9554775,3.8990624,2.9084141,0.2,0.06666666666666667,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_147,0.966023,3.320893,1.5784346,0.2,2.2666666666666666,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_148,-0.01454353,3.1576579,1.7590672,0.4666666666666667,0.6,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_149,0.90133995,3.6475732,1.8146603,0.4666666666666667,1.3333333333333333,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_15,1.3546672,2.364135,1.1757276,0.4666666666666667,0.4,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_150,0.3339962,3.1936142,1.0837345,1.0,0.2,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_151,1.0406824,3.9445593,2.5205355,0.6666666666666666,0.2,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_152,0.90185356,3.816467,2.7277033,0.8,0.13333333333333333,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_153,0.99667925,3.8486621,2.389132,0.4666666666666667,0.13333333333333333,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_154,0.92370474,3.9647362,2.5213625,0.26666666666666666,1.0,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_155,0.23821917,3.1835394,1.0378526,0.4666666666666667,0.5333333333333333,1,1,1,0,2,0,1,0,1,1,1,1,1,1,1
MAR_156,0.8933274,3.4324539,2.436595,0.3333333333333333,0.8,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
MAR_157,0.7693328,3.4343483,2.600089,0.7333333333333333,0.26666666666666666,1,1,1,0,2,0,3,3,1,1,1,1,1,1,1.1
